Job titiles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Unix Administrator,60%,125,1355,0.09225092250922509,Leadership & Strategy
Unix System Administrator,60%,121,1340,0.09029850746268657,Medical & Healthcare
Vmware Administrator,60%,125,1355,0.09225092250922509,Supply Chain & Logistics
Windows Administrator,60%,121,812,0.14901477832512317,Law Enforcement
Windows System Administrator,60%,121,812,0.14901477832512317,Construction
Registered Dental Assistant,60%,42,360,0.11666666666666667,Sales & Marketing
Registered Medical Assistant,60%,43,364,0.11813186813186813,Hospitality
Surgical Assistant,60%,44,375,0.11733333333333333,Communication & PR
Carpet Cleaner,60%,6,133,0.045112781954887216,Data & IT
Custodian,60%,8,151,0.052980132450331126,Administrative & Clerical
General Laborer,60%,9,138,0.06521739130434782,Leadership & Strategy
Housekeeping Attendant,60%,9,138,0.06521739130434782,Medical & Healthcare
Assembly Line Worker,60%,39,315,0.12380952380952381,Supply Chain & Logistics
Assembly Worker,60%,37,303,0.12211221122112212,Law Enforcement
Forklift,60%,22,166,0.13253012048192772,Construction
Master Control Operator,60%,120,1201,0.09991673605328892,Sales & Marketing
Curriculum Designer,60%,170,1325,0.12830188679245283,Hospitality
Curriculum Specialist,60%,164,1213,0.13520197856553998,Communication & PR
Epic Trainer,60%,109,900,0.12111111111111111,Data & IT
Virtual Teacher,60%,121,1037,0.11668273866923819,Administrative & Clerical
3D Modeler,60%,204,1735,0.11757925072046109,Leadership & Strategy
Compositor,60%,193,1696,0.11379716981132075,Medical & Healthcare
Fx Artist,60%,190,1638,0.115995115995116,Supply Chain & Logistics
Game Developer,60%,211,1781,0.1184727681078046,Law Enforcement
Accessioner,60%,46,410,0.11219512195121951,Construction
Autopsy Assistant,60%,37,347,0.10662824207492795,Sales & Marketing
Certified Surgical Technologist,60%,43,378,0.11375661375661375,Hospitality
Contact Tracing,60%,94,604,0.15562913907284767,Communication & PR
Director Of Nursing,60%,72,622,0.1157556270096463,Data & IT
Design Engineer,60%,143,1047,0.13658070678127984,Administrative & Clerical
Business Management Consultant,60%,143,984,0.14532520325203252,Leadership & Strategy
General Labor,60%,19,409,0.04645476772616137,Medical & Healthcare
General Worker,60%,19,409,0.04645476772616137,Supply Chain & Logistics
Tax Analyst,60%,161,1162,0.13855421686746988,Law Enforcement
Appointment Setter,60%,116,1026,0.11306042884990253,Construction
Survey Technician,60%,101,809,0.12484548825710753,Sales & Marketing
Accountant,60%,117,966,0.12111801242236025,Hospitality
Claims Auditor,60%,127,947,0.1341077085533263,Communication & PR
Loan Underwriter,60%,121,949,0.12750263435194942,Data & IT
Tax Accountant,60%,130,1026,0.1267056530214425,Administrative & Clerical
Coding Specialist,60%,138,1094,0.12614259597806216,Leadership & Strategy
Biztalk Developer,60%,138,1072,0.1287313432835821,Medical & Healthcare
Report Analyst,60%,182,1339,0.13592233009708737,Supply Chain & Logistics
Revenue Cycle Analyst,60%,149,1055,0.14123222748815165,Law Enforcement
Cloud Architect,60%,142,1039,0.136669874879692,Construction
Data Technician,60%,145,1037,0.1398264223722276,Sales & Marketing
Database Specialist,60%,159,1116,0.1424731182795699,Hospitality
Financial Data Analyst,60%,196,1403,0.1397006414825374,Communication & PR
Sql Database Administrator,60%,149,1090,0.13669724770642203,Data & IT
Process Server,60%,65,661,0.09833585476550681,Administrative & Clerical
Game Designer,60%,171,1413,0.12101910828025478,Leadership & Strategy
Embryologist,60%,50,569,0.08787346221441125,Medical & Healthcare
Medical Office Assistant,60%,90,858,0.1048951048951049,Supply Chain & Logistics
Customs Broker,60%,123,918,0.13398692810457516,Law Enforcement
Import Coordinator,60%,129,935,0.13796791443850268,Construction
Import Specialist,60%,127,931,0.1364124597207304,Sales & Marketing
Merchandising Coordinator,60%,162,1111,0.14581458145814583,Hospitality
Purchaser,59%,142,1024,0.138671875,Communication & PR
Retail Buyer,58%,158,1126,0.14031971580817051,Data & IT
Assistant Producer,57%,118,924,0.1277056277056277,Administrative & Clerical
Communications Consultant,57%,139,1033,0.1345595353339787,Leadership & Strategy
Content Producer,57%,216,1506,0.14342629482071714,Medical & Healthcare
Clinical Project Manager,57%,121,942,0.12845010615711253,Supply Chain & Logistics
Environmental Project Manager,55%,110,869,0.12658227848101267,Law Enforcement
Clerk,55%,85,830,0.10240963855421686,Construction
Commodity Buyer,55%,147,1117,0.13160250671441362,Sales & Marketing
Infrastructure Analyst,55%,148,1095,0.13515981735159818,Hospitality
Landscape Architect,55%,89,1074,0.08286778398510242,Communication & PR
Associate Creative Director,55%,147,1115,0.13183856502242153,Data & IT
Claims Manager,55%,124,956,0.1297071129707113,Administrative & Clerical
Administration Manager,55%,111,1059,0.1048158640226629,Leadership & Strategy
Department Assistant,55%,101,947,0.10665258711721225,Medical & Healthcare
Document Specialist,55%,111,911,0.12184412733260154,Supply Chain & Logistics
Executive Administrator,55%,105,979,0.10725229826353422,Law Enforcement
Front Desk Assistant,55%,91,815,0.1116564417177914,Construction
Implementation Specialist,55%,155,1219,0.12715340442986053,Sales & Marketing
Avionics Technician,55%,73,638,0.11442006269592477,Hospitality
Custodial Worker,55%,44,485,0.09072164948453608,Communication & PR
Dock Worker,55%,46,486,0.09465020576131687,Data & IT
Facilities Maintenance,55%,66,578,0.11418685121107267,Administrative & Clerical
Fiber Optic Splicer,55%,67,629,0.10651828298887123,Leadership & Strategy
Fiber Optic Technician,55%,68,632,0.10759493670886076,Medical & Healthcare
Analyst,55%,162,1144,0.14160839160839161,Supply Chain & Logistics
Customer Care Representative,55%,121,1083,0.11172668513388735,Law Enforcement
Proposal Manager,55%,169,1340,0.12611940298507462,Construction
Sales Development Representative,55%,165,1417,0.11644318983768526,Sales & Marketing
Mathematician,55%,75,736,0.10190217391304347,Hospitality
Aerospace Engineer,55%,89,749,0.11882510013351134,Communication & PR
Cad Designer,55%,124,1265,0.09802371541501977,Data & IT
Child Psychologist,55%,52,581,0.08950086058519793,Administrative & Clerical
Criminalist,55%,73,670,0.10895522388059702,Leadership & Strategy
Forensic Engineer,55%,85,747,0.11378848728246319,Medical & Healthcare
Forensic Specialist,55%,85,743,0.11440107671601615,Supply Chain & Logistics
Security Manager,55%,101,833,0.1212484993997599,Law Enforcement
Edi Developer,55%,114,746,0.15281501340482573,Construction
Embedded Software Engineer,55%,117,763,0.15334207077326342,Sales & Marketing
Financial Systems Analyst,55%,163,1195,0.13640167364016736,Hospitality
Fpga Design Engineer,55%,130,998,0.13026052104208416,Communication & PR
It Security Engineer,55%,139,1071,0.12978524743230627,Data & IT
Linux System Engineer,55%,143,1061,0.1347785108388313,Administrative & Clerical
Network Engineer,55%,141,1049,0.1344137273593899,Leadership & Strategy
Network Security Engineer,55%,142,1056,0.13446969696969696,Medical & Healthcare
Network Support Engineer,55%,141,1049,0.1344137273593899,Supply Chain & Logistics
Network Systems Engineer,55%,141,1049,0.1344137273593899,Law Enforcement
Senior Systems Analyst,55%,155,1123,0.13802315227070347,Construction
System Engineer,55%,143,1058,0.13516068052930058,Sales & Marketing
Systems Engineer,55%,144,1062,0.13559322033898305,Hospitality
Business Controller,55%,126,1017,0.12389380530973451,Communication & PR
Delivery Manager,55%,138,1036,0.13320463320463322,Data & IT
Tax Associate,55%,128,1017,0.12586037364798427,Administrative & Clerical
Medical Administrative Specialist,55%,101,919,0.10990206746463548,Leadership & Strategy
Tax Professional,55%,128,1017,0.12586037364798427,Medical & Healthcare
Insurance Producer,55%,110,853,0.12895662368112543,Supply Chain & Logistics
Specialist,55%,169,1195,0.1414225941422594,Law Enforcement
Contracts Manager,55%,130,985,0.1319796954314721,Construction
Billing Manager,55%,175,1434,0.12203626220362622,Sales & Marketing
Sourcing Analyst,55%,151,1204,0.12541528239202657,Hospitality
Auto Sales,55%,147,1318,0.11153262518968134,Communication & PR
Inside Sales Associate,55%,193,1720,0.11220930232558139,Data & IT
Inside Sales Representative,55%,192,1716,0.11188811188811189,Administrative & Clerical
Insurance Sales Agent,55%,179,1628,0.10995085995085994,Leadership & Strategy
National Account Executive,55%,115,1014,0.11341222879684418,Medical & Healthcare
Pharmaceutical Sales Representative,55%,120,1045,0.11483253588516747,Supply Chain & Logistics
Sales Account Executive,55%,117,1018,0.11493123772102161,Law Enforcement
Sales Agent,55%,118,1034,0.11411992263056092,Construction
Nurse Aide,55%,49,439,0.11161731207289294,Sales & Marketing
Nurse Technician,55%,50,447,0.11185682326621924,Hospitality
Nursing Attendant,55%,54,480,0.1125,Communication & PR
Traveling Nurse,55%,52,533,0.0975609756097561,Data & IT
Bookseller,55%,81,661,0.12254160363086233,Administrative & Clerical
Freelance Translator,55%,133,1125,0.11822222222222223,Leadership & Strategy
Applications Engineer,55%,177,1302,0.1359447004608295,Medical & Healthcare
Digital Marketing,55%,236,1946,0.12127440904419322,Supply Chain & Logistics
Digital Marketing Analyst,55%,240,1911,0.12558869701726844,Law Enforcement
Digital Marketing Consultant,55%,238,1911,0.12454212454212454,Construction
Digital Marketing Coordinator,55%,241,1923,0.12532501300052,Sales & Marketing
Digital Marketing Manager,55%,240,1920,0.125,Hospitality
Digital Marketing Specialist,55%,241,1923,0.12532501300052,Communication & PR
Digital Marketing Strategist,55%,238,1912,0.12447698744769875,Data & IT
Email Marketing Specialist,55%,232,1857,0.12493268712977922,Administrative & Clerical
Marketing Automation Specialist,55%,201,1931,0.10409114448472294,Leadership & Strategy
Marketing Consultant,55%,200,1637,0.12217470983506414,Medical & Healthcare
Marketing Operations Manager,55%,165,1338,0.12331838565022421,Supply Chain & Logistics
Social Media Analyst,55%,247,2115,0.11678486997635934,Law Enforcement
Social Media Consultant,55%,241,2114,0.1140018921475875,Construction
Social Media Marketing,55%,259,2183,0.11864406779661017,Sales & Marketing
Vice President Of Marketing,55%,132,976,0.13524590163934427,Hospitality
Vp Marketing,54%,136,981,0.13863404689092762,Communication & PR
Business Project Manager,53%,207,1602,0.12921348314606743,Data & IT
Commercial Project Manager,53%,197,1459,0.13502398903358465,Administrative & Clerical
Implementation Project Manager,53%,206,1608,0.1281094527363184,Leadership & Strategy
Marketing Project Manager,52%,178,1396,0.12750716332378223,Medical & Healthcare
Pmo Manager,52%,148,1192,0.12416107382550336,Supply Chain & Logistics
Product Marketing Manager,51%,173,1350,0.12814814814814815,Law Enforcement
Project Controller,51%,155,1215,0.12757201646090535,Construction
Senior Product Manager,50%,161,1257,0.1280827366746221,Sales & Marketing
Dealer,50%,54,369,0.14634146341463414,Hospitality
Personal Shopper,50%,71,543,0.13075506445672191,Communication & PR
Store Shopper,50%,64,529,0.12098298676748583,Data & IT
Electrical Engineer,50%,130,847,0.15348288075560804,Administrative & Clerical
Fabrication Manager,50%,114,805,0.14161490683229813,Leadership & Strategy
Quantity Surveyor,50%,80,636,0.12578616352201258,Medical & Healthcare
Surveyor,50%,80,680,0.11764705882352941,Supply Chain & Logistics
Commercial Underwriter,50%,179,1514,0.11822985468956407,Law Enforcement
Insurance Analyst,50%,186,1529,0.12164813603662525,Construction
Licensed Insurance Agent,50%,104,846,0.12293144208037825,Sales & Marketing
Property Claims Adjuster,50%,91,766,0.11879895561357702,Hospitality
Healthcare Consultant,50%,190,1528,0.1243455497382199,Communication & PR
Medical Administrative Assistant,50%,115,848,0.13561320754716982,Data & IT
Medical Consultant,50%,100,779,0.12836970474967907,Administrative & Clerical
Medical Office Specialist,50%,117,887,0.1319052987598647,Leadership & Strategy
Patient Account Representative,50%,103,813,0.12669126691266913,Medical & Healthcare
Pharmacy Technician Trainee,50%,48,501,0.09580838323353294,Supply Chain & Logistics
Eligibility Specialist,50%,154,1110,0.13873873873873874,Law Enforcement
Eligibility Worker,50%,153,1109,0.13796212804328223,Construction
Mail Carrier,50%,41,390,0.10512820512820513,Sales & Marketing
Professional Organizer,50%,61,488,0.125,Hospitality
Buyer Planner,50%,183,1289,0.14197051978277736,Communication & PR
Export Specialist,50%,167,1167,0.143101970865467,Data & IT
Gas Controller,50%,122,802,0.15211970074812967,Administrative & Clerical
Logistics Assistant,50%,139,1138,0.12214411247803164,Leadership & Strategy
Materials Coordinator,50%,135,974,0.13860369609856263,Medical & Healthcare
Procurement Specialist,50%,150,1190,0.12605042016806722,Supply Chain & Logistics
Purchasing Analyst,50%,147,1149,0.1279373368146214,Law Enforcement
Service Manager,50%,114,911,0.1251372118551043,Construction
Sourcing Specialist,50%,148,1195,0.12384937238493723,Sales & Marketing
Assistant Media Planner,50%,206,1797,0.11463550361713967,Hospitality
Broadcast Producer,50%,179,1516,0.11807387862796834,Communication & PR
Communications Associate,50%,207,1797,0.11519198664440734,Data & IT
Digital Media Specialist,50%,286,2430,0.1176954732510288,Administrative & Clerical
Video Coordinator,50%,206,1660,0.12409638554216867,Leadership & Strategy
Etl Tester,50%,159,1100,0.14454545454545453,Medical & Healthcare
Qa Tester,50%,280,2236,0.1252236135957066,Supply Chain & Logistics
Quality Assurance Tester,50%,280,2236,0.1252236135957066,Law Enforcement
Software Qa Engineer,50%,277,2231,0.12415956969968624,Construction
Software Quality Assurance,50%,275,2220,0.12387387387387387,Sales & Marketing
Software Quality Assurance Engineer,50%,276,2219,0.12438035150968905,Hospitality
Software Test Engineer,50%,272,2209,0.1231326392032594,Communication & PR
Software Tester,50%,272,2209,0.1231326392032594,Data & IT
Test Analyst,50%,252,2050,0.12292682926829268,Administrative & Clerical
Test Engineer,50%,130,986,0.13184584178498987,Leadership & Strategy
Tester,50%,134,1008,0.13293650793650794,Medical & Healthcare
Java Consultant,50%,186,1290,0.14418604651162792,Supply Chain & Logistics
CPR Instructor,50%,64,489,0.130879345603272,Law Enforcement
Community Health Educator,50%,155,1155,0.1341991341991342,Construction
Curriculum Developer,50%,157,1406,0.1116642958748222,Sales & Marketing
Day Care Teacher,50%,74,566,0.13074204946996468,Hospitality
Early Childhood Teacher,50%,73,562,0.1298932384341637,Communication & PR
Educational Consultant,50%,162,1458,0.1111111111111111,Data & IT
Flight Instructor,50%,55,399,0.13784461152882205,Administrative & Clerical
Training Consultant,50%,125,930,0.13440860215053763,Leadership & Strategy
3D Animator,50%,132,1041,0.12680115273775217,Medical & Healthcare
3D Artist,50%,156,1190,0.13109243697478992,Supply Chain & Logistics
Architectural Draftsman,50%,137,932,0.14699570815450644,Law Enforcement
Digital Artist,50%,240,2063,0.11633543383422201,Construction
Draftsman,50%,149,1375,0.10836363636363637,Sales & Marketing
Graphic Artist,50%,238,2083,0.114258281325012,Hospitality
CNA,50%,31,233,0.13304721030042918,Communication & PR
Clinical Pharmacist,50%,93,745,0.12483221476510067,Data & IT
Compounder,50%,59,487,0.12114989733059549,Administrative & Clerical
Dental Ceramist,50%,49,365,0.13424657534246576,Leadership & Strategy
Dental Lab Technician,50%,49,347,0.14121037463976946,Medical & Healthcare
Dental Technician,50%,50,350,0.14285714285714285,Supply Chain & Logistics
Dialysis Technician,50%,54,491,0.109979633401222,Law Enforcement
Hemodialysis Technician,50%,49,397,0.12342569269521411,Construction
Hospital Cleaner,50%,20,240,0.08333333333333333,Sales & Marketing
Hospital Pharmacist,50%,86,727,0.11829436038514443,Hospitality
Medical Assembler,50%,54,493,0.10953346855983773,Communication & PR
Programmer,50%,218,1891,0.11528291909042834,Data & IT
Senior Programmer,50%,217,1894,0.11457233368532208,Administrative & Clerical
Software Programmer,50%,219,1900,0.11526315789473685,Leadership & Strategy
